state,x,y
Andaman & Nicobar,296,-260
Andhra Pradesh,-112,-196
Arunachal Pradesh,318,211
Assam,261,145
Bihar,85,120
Chhattisgarh,-8,23
Goa,-241,-178
Gujarat,-312,52
Haryana,-169,228
Himachal Pradesh,-147,310
Jammu & Kashmir,-208,368
Jharkhand,69,60
Karnataka,-200,-207
Kerala,-170,-336
Ladakh,-153,402
Lakshadweep,-278,-332
Madhya Pradesh,-130,46
Maharashtra,-219,-63
Manipur,305,103
Meghalaya,235,118
Mizoram,288,45
Nagaland,324,142
Orissa,43,-29
Punjab,-192,277
Rajasthan,-246,159
Sikkim,157,175
Tamil Nadu,-124,-298
Telangana,-102,-108
Tripura,247,68
Uttar Pradesh,-61,165
Uttrakhand,-94,258
West Bengal,133,50
